time,branch-instructions,branch-misses,cache-misses,cache-references,cpu-cycles,instructions,class
1.80540324,496683,3368,116904,131237,42643589,79977800,vgg16
1.815586691,498041,3471,116817,133158,42596161,79775588,vgg16
1.825767773,496678,3452,116849,131644,42528298,79762106,vgg16
1.8359454,492613,3565,115493,130313,42589030,79805114,vgg16
1.846137335,496327,3473,116754,130665,42679552,79948985,vgg16
1.856317331,496659,3462,116459,130778,42658956,79889054,vgg16
1.866496206,496221,3505,116395,130083,42654688,79953878,vgg16
1.87668506,496932,3533,116460,130680,42695127,80001586,vgg16
1.886864353,496112,3409,116288,130496,42626724,79903000,vgg16
1.897043969,496529,3357,116164,130781,42592274,79752051,vgg16
1.907224182,497272,3449,116253,130971,42658437,79899671,vgg16
1.91741136,496774,3772,116076,130844,42649949,79924030,vgg16
1.927600803,496686,3721,109352,130866,42595573,79871552,vgg16
1.93779,496246,3665,116178,130247,42687803,79985463,vgg16
1.947971566,496745,3701,116289,130912,42637804,79897565,vgg16
1.958159038,496285,3709,116256,130071,42686205,80004099,vgg16
1.968337288,497107,3703,116237,131157,42651006,79921732,vgg16
1.978514143,496133,3668,116307,130363,42647070,79916416,vgg16
1.988686384,495175,3712,116177,130860,42632017,79910242,vgg16
1.998882498,497990,3654,116214,130201,42717827,80093438,vgg16
2.009065542,496946,3624,116247,130608,42672288,80025508,vgg16
2.019232056,496050,3702,116195,130451,42608730,79859401,vgg16
2.029422322,497252,3632,115837,130686,42693107,79999001,vgg16
2.03960495,496791,3561,116204,130797,42670386,79927990,vgg16
2.049788727,496217,3629,116065,130139,42645938,79950769,vgg16
2.059975808,496916,3683,116189,130582,42686546,79970491,vgg16
2.070168666,496578,3664,116286,130356,42719166,80040864,vgg16
2.080351688,496844,3635,116421,130715,42663613,79952512,vgg16
2.090544465,496706,3534,116395,130529,42712026,80053854,vgg16
2.100735671,497024,3259,116508,131010,42706806,80058282,vgg16
2.110917428,496254,3275,116550,130103,42666396,79989833,vgg16
2.121114681,496770,3275,116608,131300,42652741,79932903,vgg16
2.131320532,496064,3479,110472,130591,42626639,79845412,vgg16
2.141507522,496883,3301,116827,131314,42645873,79914168,vgg16
2.151689839,496778,3354,116718,131487,42640521,79835725,vgg16
2.161868561,495891,3365,116696,130395,42652647,79924291,vgg16
